
1 threadCount:
C: 54.00%, D: 46.00% | Est. Population: 1024
C: 64.96%, D: 35.04% | Est. Population: 1024
C: 64.24%, D: 35.76% | Est. Population: 1024
C: 63.92%, D: 36.08% | Est. Population: 1024
C: 64.04%, D: 35.96% | Est. Population: 1024
C: 63.96%, D: 36.04% | Est. Population: 1024
C: 63.96%, D: 36.04% | Est. Population: 1024
C: 64.44%, D: 35.56% | Est. Population: 1024
C: 64.20%, D: 35.80% | Est. Population: 1024
C: 64.00%, D: 36.00% | Est. Population: 1024
C: 64.08%, D: 35.92% | Est. Population: 1024
C: 64.20%, D: 35.80% | Est. Population: 1024
C: 63.96%, D: 36.04% | Est. Population: 1024
C: 63.88%, D: 36.12% | Est. Population: 1024
C: 64.52%, D: 35.48% | Est. Population: 1024
C: 64.28%, D: 35.72% | Est. Population: 1024
C: 64.56%, D: 35.44% | Est. Population: 1024
C: 64.32%, D: 35.68% | Est. Population: 1024
C: 64.44%, D: 35.56% | Est. Population: 1024
C: 64.36%, D: 35.64% | Est. Population: 1024
C: 64.52%, D: 35.48% | Est. Population: 1024
C: 64.40%, D: 35.60% | Est. Population: 1024
C: 64.80%, D: 35.20% | Est. Population: 1024
C: 64.36%, D: 35.64% | Est. Population: 1024
C: 64.48%, D: 35.52% | Est. Population: 1024
C: 64.80%, D: 35.20% | Est. Population: 1024
C: 64.72%, D: 35.28% | Est. Population: 1024
C: 64.60%, D: 35.40% | Est. Population: 1024
C: 64.72%, D: 35.28% | Est. Population: 1024
C: 64.60%, D: 35.40% | Est. Population: 1024
C: 64.24%, D: 35.76% | Est. Population: 1024
C: 64.60%, D: 35.40% | Est. Population: 1024
C: 64.20%, D: 35.80% | Est. Population: 1024
C: 64.00%, D: 36.00% | Est. Population: 1024
C: 63.84%, D: 36.16% | Est. Population: 1024
C: 63.72%, D: 36.28% | Est. Population: 1024
C: 64.00%, D: 36.00% | Est. Population: 1024
C: 64.00%, D: 36.00% | Est. Population: 1024
C: 64.56%, D: 35.44% | Est. Population: 1024
C: 64.36%, D: 35.64% | Est. Population: 1024
C: 64.16%, D: 35.84% | Est. Population: 1024
C: 64.48%, D: 35.52% | Est. Population: 1024

2 threadCount:
C: 53.96%, D: 46.04% | Est. Population: 1024
C: 54.92%, D: 45.08% | Est. Population: 1024
C: 55.84%, D: 44.16% | Est. Population: 1024
C: 57.28%, D: 42.72% | Est. Population: 1024
C: 57.28%, D: 42.72% | Est. Population: 1024
C: 59.60%, D: 40.40% | Est. Population: 1024
C: 59.84%, D: 40.16% | Est. Population: 1024
C: 60.64%, D: 39.36% | Est. Population: 1024
C: 60.64%, D: 39.36% | Est. Population: 1024
C: 61.40%, D: 38.60% | Est. Population: 1024
C: 61.40%, D: 38.60% | Est. Population: 1024
C: 62.56%, D: 37.44% | Est. Population: 1024
C: 62.56%, D: 37.44% | Est. Population: 1024
C: 62.88%, D: 37.12% | Est. Population: 1024
C: 62.88%, D: 37.12% | Est. Population: 1024
C: 63.12%, D: 36.88% | Est. Population: 1024
C: 63.56%, D: 36.44% | Est. Population: 1024
C: 63.00%, D: 37.00% | Est. Population: 1024
C: 63.48%, D: 36.52% | Est. Population: 1024
C: 63.48%, D: 36.52% | Est. Population: 1024
C: 63.44%, D: 36.56% | Est. Population: 4096
C: 63.44%, D: 36.56% | Est. Population: 4096
C: 63.00%, D: 37.00% | Est. Population: 4096
C: 63.00%, D: 37.00% | Est. Population: 4096
C: 63.72%, D: 36.28% | Est. Population: 4096
C: 63.72%, D: 36.28% | Est. Population: 4096
C: 64.08%, D: 35.92% | Est. Population: 4096
C: 63.52%, D: 36.48% | Est. Population: 4096
C: 64.08%, D: 35.92% | Est. Population: 4096
C: 63.84%, D: 36.16% | Est. Population: 4096
C: 63.84%, D: 36.16% | Est. Population: 4096
C: 64.16%, D: 35.84% | Est. Population: 4096
C: 64.16%, D: 35.84% | Est. Population: 4096
C: 64.08%, D: 35.92% | Est. Population: 4096
C: 64.12%, D: 35.88% | Est. Population: 4096
C: 63.80%, D: 36.20% | Est. Population: 4096
C: 63.80%, D: 36.20% | Est. Population: 4096
C: 63.32%, D: 36.68% | Est. Population: 4096
C: 63.32%, D: 36.68% | Est. Population: 4096
C: 64.16%, D: 35.84% | Est. Population: 4096
C: 64.16%, D: 35.84% | Est. Population: 4096
C: 64.84%, D: 35.16% | Est. Population: 4096
C: 64.84%, D: 35.16% | Est. Population: 4096
C: 64.36%, D: 35.64% | Est. Population: 4096
C: 64.36%, D: 35.64% | Est. Population: 4096
C: 64.76%, D: 35.24% | Est. Population: 4096
C: 64.76%, D: 35.24% | Est. Population: 4096
C: 65.48%, D: 34.52% | Est. Population: 4096
C: 65.48%, D: 34.52% | Est. Population: 4096
C: 65.40%, D: 34.60% | Est. Population: 4096
C: 65.40%, D: 34.60% | Est. Population: 4096
C: 65.08%, D: 34.92% | Est. Population: 4096
C: 65.08%, D: 34.92% | Est. Population: 4096
C: 64.68%, D: 35.32% | Est. Population: 4096
C: 64.68%, D: 35.32% | Est. Population: 4096
C: 64.52%, D: 35.48% | Est. Population: 4096
C: 64.52%, D: 35.48% | Est. Population: 4096
C: 64.76%, D: 35.24% | Est. Population: 4096
C: 64.52%, D: 35.48% | Est. Population: 4096
C: 64.32%, D: 35.68% | Est. Population: 4096
C: 64.44%, D: 35.56% | Est. Population: 4096
C: 64.48%, D: 35.52% | Est. Population: 4096
C: 64.64%, D: 35.36% | Est. Population: 4096
C: 64.68%, D: 35.32% | Est. Population: 4096
C: 64.44%, D: 35.56% | Est. Population: 4096
C: 64.44%, D: 35.56% | Est. Population: 4096
C: 64.60%, D: 35.40% | Est. Population: 4096
C: 64.76%, D: 35.24% | Est. Population: 4096
C: 64.80%, D: 35.20% | Est. Population: 4096
C: 64.48%, D: 35.52% | Est. Population: 4096
C: 64.52%, D: 35.48% | Est. Population: 4096
C: 65.00%, D: 35.00% | Est. Population: 4096
C: 65.00%, D: 35.00% | Est. Population: 4096
C: 64.88%, D: 35.12% | Est. Population: 4096
C: 64.72%, D: 35.28% | Est. Population: 4096
C: 65.04%, D: 34.96% | Est. Population: 4096
C: 64.96%, D: 35.04% | Est. Population: 4096
C: 64.92%, D: 35.08% | Est. Population: 4096
C: 64.80%, D: 35.20% | Est. Population: 4096
C: 64.80%, D: 35.20% | Est. Population: 4096
C: 64.72%, D: 35.28% | Est. Population: 4096
C: 64.68%, D: 35.32% | Est. Population: 4096
C: 64.52%, D: 35.48% | Est. Population: 4096
C: 64.48%, D: 35.52% | Est. Population: 4096
C: 64.28%, D: 35.72% | Est. Population: 4096
C: 64.16%, D: 35.84% | Est. Population: 4096
C: 64.60%, D: 35.40% | Est. Population: 4096
C: 64.52%, D: 35.48% | Est. Population: 4096
C: 64.28%, D: 35.72% | Est. Population: 4096
C: 64.28%, D: 35.72% | Est. Population: 4096
C: 64.52%, D: 35.48% | Est. Population: 4096
C: 64.48%, D: 35.52% | Est. Population: 4096
C: 64.60%, D: 35.40% | Est. Population: 4096
C: 64.32%, D: 35.68% | Est. Population: 4096
C: 64.32%, D: 35.68% | Est. Population: 4096
C: 64.40%, D: 35.60% | Est. Population: 4096
C: 64.52%, D: 35.48% | Est. Population: 4096
C: 64.40%, D: 35.60% | Est. Population: 4096
C: 64.20%, D: 35.80% | Est. Population: 4096
C: 64.56%, D: 35.44% | Est. Population: 4096

4 threadCount:
C: 54.08%, D: 45.92% | Est. Population: 256
C: 55.52%, D: 44.48% | Est. Population: 256
C: 56.56%, D: 43.44% | Est. Population: 256
C: 58.08%, D: 41.92% | Est. Population: 256
C: 57.08%, D: 42.92% | Est. Population: 256
C: 60.40%, D: 39.60% | Est. Population: 256
C: 60.40%, D: 39.60% | Est. Population: 256
C: 60.36%, D: 39.64% | Est. Population: 256
C: 61.04%, D: 38.96% | Est. Population: 256
C: 61.32%, D: 38.68% | Est. Population: 256
C: 61.76%, D: 38.24% | Est. Population: 256
C: 61.84%, D: 38.16% | Est. Population: 256
C: 61.48%, D: 38.52% | Est. Population: 256
C: 61.92%, D: 38.08% | Est. Population: 256
C: 62.36%, D: 37.64% | Est. Population: 256
C: 62.96%, D: 37.04% | Est. Population: 256
C: 63.04%, D: 36.96% | Est. Population: 256
C: 63.00%, D: 37.00% | Est. Population: 256
C: 63.12%, D: 36.88% | Est. Population: 256
C: 63.12%, D: 36.88% | Est. Population: 256
C: 63.76%, D: 36.24% | Est. Population: 256
C: 63.80%, D: 36.20% | Est. Population: 256
C: 63.76%, D: 36.24% | Est. Population: 256
C: 63.80%, D: 36.20% | Est. Population: 256
C: 63.68%, D: 36.32% | Est. Population: 256
C: 63.76%, D: 36.24% | Est. Population: 256
C: 64.16%, D: 35.84% | Est. Population: 256
C: 64.24%, D: 35.76% | Est. Population: 256
C: 64.24%, D: 35.76% | Est. Population: 256
C: 64.24%, D: 35.76% | Est. Population: 256
C: 64.48%, D: 35.52% | Est. Population: 1024
C: 64.40%, D: 35.60% | Est. Population: 1024
C: 64.36%, D: 35.64% | Est. Population: 1024
C: 64.24%, D: 35.76% | Est. Population: 1024
C: 64.36%, D: 35.64% | Est. Population: 1024
C: 64.40%, D: 35.60% | Est. Population: 1024
C: 64.40%, D: 35.60% | Est. Population: 1024
C: 64.32%, D: 35.68% | Est. Population: 1024
C: 64.12%, D: 35.88% | Est. Population: 1024
C: 64.88%, D: 35.12% | Est. Population: 1024
C: 64.88%, D: 35.12% | Est. Population: 1024
C: 64.88%, D: 35.12% | Est. Population: 1024
C: 64.88%, D: 35.12% | Est. Population: 1024
C: 64.40%, D: 35.60% | Est. Population: 1024
C: 63.64%, D: 36.36% | Est. Population: 1024
C: 63.80%, D: 36.20% | Est. Population: 1024
C: 63.76%, D: 36.24% | Est. Population: 1024
C: 63.76%, D: 36.24% | Est. Population: 1024
C: 64.20%, D: 35.80% | Est. Population: 1024
C: 63.76%, D: 36.24% | Est. Population: 1024
C: 64.52%, D: 35.48% | Est. Population: 1024
C: 64.52%, D: 35.48% | Est. Population: 1024
C: 64.52%, D: 35.48% | Est. Population: 1024
C: 64.52%, D: 35.48% | Est. Population: 1024
C: 64.92%, D: 35.08% | Est. Population: 1024
C: 64.92%, D: 35.08% | Est. Population: 1024
C: 65.00%, D: 35.00% | Est. Population: 1024
C: 64.56%, D: 35.44% | Est. Population: 1024
C: 64.44%, D: 35.56% | Est. Population: 1024
C: 64.48%, D: 35.52% | Est. Population: 1024
C: 63.92%, D: 36.08% | Est. Population: 1024
C: 63.76%, D: 36.24% | Est. Population: 1024
C: 63.72%, D: 36.28% | Est. Population: 1024
C: 63.72%, D: 36.28% | Est. Population: 1024
C: 63.80%, D: 36.20% | Est. Population: 1024
C: 63.80%, D: 36.20% | Est. Population: 1024
C: 63.52%, D: 36.48% | Est. Population: 1024
C: 63.64%, D: 36.36% | Est. Population: 1024
C: 64.24%, D: 35.76% | Est. Population: 1024
C: 64.52%, D: 35.48% | Est. Population: 1024
C: 64.72%, D: 35.28% | Est. Population: 1024
C: 64.72%, D: 35.28% | Est. Population: 1024
C: 64.68%, D: 35.32% | Est. Population: 1024
C: 64.68%, D: 35.32% | Est. Population: 1024
C: 65.16%, D: 34.84% | Est. Population: 1024
C: 65.08%, D: 34.92% | Est. Population: 1024
C: 65.08%, D: 34.92% | Est. Population: 1024
C: 65.12%, D: 34.88% | Est. Population: 1024
C: 64.72%, D: 35.28% | Est. Population: 1024
C: 64.36%, D: 35.64% | Est. Population: 1024
C: 64.76%, D: 35.24% | Est. Population: 1024
C: 64.76%, D: 35.24% | Est. Population: 1024
C: 64.64%, D: 35.36% | Est. Population: 1024
C: 64.76%, D: 35.24% | Est. Population: 1024
C: 64.92%, D: 35.08% | Est. Population: 1024
C: 64.52%, D: 35.48% | Est. Population: 1024
C: 64.32%, D: 35.68% | Est. Population: 1024
C: 64.32%, D: 35.68% | Est. Population: 1024
C: 64.32%, D: 35.68% | Est. Population: 1024
C: 64.72%, D: 35.28% | Est. Population: 1024
C: 64.44%, D: 35.56% | Est. Population: 1024
C: 64.44%, D: 35.56% | Est. Population: 1024
C: 64.44%, D: 35.56% | Est. Population: 1024
C: 65.04%, D: 34.96% | Est. Population: 1024
C: 65.12%, D: 34.88% | Est. Population: 1024
C: 65.04%, D: 34.96% | Est. Population: 1024
C: 65.04%, D: 34.96% | Est. Population: 1024
C: 64.60%, D: 35.40% | Est. Population: 1024
C: 64.60%, D: 35.40% | Est. Population: 1024
C: 64.60%, D: 35.40% | Est. Population: 1024

8 threadCount:
C: 54.04%, D: 45.96% | Est. Population: 4096
C: 55.20%, D: 44.80% | Est. Population: 4096
C: 56.64%, D: 43.36% | Est. Population: 4096
C: 57.68%, D: 42.32% | Est. Population: 4096
C: 57.68%, D: 42.32% | Est. Population: 4096
C: 58.40%, D: 41.60% | Est. Population: 4096
C: 59.24%, D: 40.76% | Est. Population: 4096
C: 59.48%, D: 40.52% | Est. Population: 4096
C: 60.40%, D: 39.60% | Est. Population: 4096
C: 60.56%, D: 39.44% | Est. Population: 4096
C: 60.68%, D: 39.32% | Est. Population: 4096
C: 61.72%, D: 38.28% | Est. Population: 4096
C: 61.92%, D: 38.08% | Est. Population: 4096
C: 62.24%, D: 37.76% | Est. Population: 4096
C: 62.56%, D: 37.44% | Est. Population: 4096
C: 62.36%, D: 37.64% | Est. Population: 4096
C: 62.72%, D: 37.28% | Est. Population: 4096
C: 62.68%, D: 37.32% | Est. Population: 4096
C: 62.32%, D: 37.68% | Est. Population: 4096
C: 62.28%, D: 37.72% | Est. Population: 4096
C: 63.12%, D: 36.88% | Est. Population: 4096
C: 63.12%, D: 36.88% | Est. Population: 4096
C: 63.12%, D: 36.88% | Est. Population: 4096
C: 63.20%, D: 36.80% | Est. Population: 4096
C: 63.16%, D: 36.84% | Est. Population: 4096
C: 63.20%, D: 36.80% | Est. Population: 4096
C: 63.64%, D: 36.36% | Est. Population: 4096
C: 63.76%, D: 36.24% | Est. Population: 4096
C: 63.92%, D: 36.08% | Est. Population: 4096
C: 63.92%, D: 36.08% | Est. Population: 4096
C: 63.92%, D: 36.08% | Est. Population: 4096
C: 63.96%, D: 36.04% | Est. Population: 4096
C: 64.16%, D: 35.84% | Est. Population: 4096
C: 64.08%, D: 35.92% | Est. Population: 4096
C: 64.36%, D: 35.64% | Est. Population: 4096
C: 64.12%, D: 35.88% | Est. Population: 4096
C: 63.76%, D: 36.24% | Est. Population: 4096
C: 63.72%, D: 36.28% | Est. Population: 4096
C: 63.92%, D: 36.08% | Est. Population: 4096
C: 63.92%, D: 36.08% | Est. Population: 4096
C: 63.80%, D: 36.20% | Est. Population: 4096
C: 63.92%, D: 36.08% | Est. Population: 4096
C: 64.44%, D: 35.56% | Est. Population: 4096
C: 64.28%, D: 35.72% | Est. Population: 4096
C: 63.92%, D: 36.08% | Est. Population: 4096
C: 64.08%, D: 35.92% | Est. Population: 4096
C: 64.12%, D: 35.88% | Est. Population: 4096
C: 64.24%, D: 35.76% | Est. Population: 4096
C: 64.08%, D: 35.92% | Est. Population: 4096
C: 64.08%, D: 35.92% | Est. Population: 4096
C: 64.96%, D: 35.04% | Est. Population: 4096
C: 65.20%, D: 34.80% | Est. Population: 4096
C: 65.00%, D: 35.00% | Est. Population: 4096
C: 65.20%, D: 34.80% | Est. Population: 4096
C: 65.12%, D: 34.88% | Est. Population: 4096
C: 64.96%, D: 35.04% | Est. Population: 4096
C: 64.96%, D: 35.04% | Est. Population: 4096
C: 64.88%, D: 35.12% | Est. Population: 4096
C: 64.64%, D: 35.36% | Est. Population: 4096
C: 64.72%, D: 35.28% | Est. Population: 4096
C: 64.52%, D: 35.48% | Est. Population: 4096
C: 64.52%, D: 35.48% | Est. Population: 4096
C: 64.28%, D: 35.72% | Est. Population: 4096
C: 64.36%, D: 35.64% | Est. Population: 4096
C: 64.12%, D: 35.88% | Est. Population: 4096
C: 64.84%, D: 35.16% | Est. Population: 4096
C: 64.76%, D: 35.24% | Est. Population: 4096
C: 64.88%, D: 35.12% | Est. Population: 4096
C: 64.68%, D: 35.32% | Est. Population: 4096
C: 64.84%, D: 35.16% | Est. Population: 4096
C: 64.88%, D: 35.12% | Est. Population: 4096
C: 64.72%, D: 35.28% | Est. Population: 4096
C: 65.16%, D: 34.84% | Est. Population: 4096
C: 64.72%, D: 35.28% | Est. Population: 4096
C: 64.84%, D: 35.16% | Est. Population: 4096
C: 65.12%, D: 34.88% | Est. Population: 4096
C: 64.88%, D: 35.12% | Est. Population: 4096
C: 65.00%, D: 35.00% | Est. Population: 4096
C: 64.88%, D: 35.12% | Est. Population: 4096
C: 65.36%, D: 34.64% | Est. Population: 4096
C: 65.36%, D: 34.64% | Est. Population: 4096
C: 65.24%, D: 34.76% | Est. Population: 4096
C: 65.44%, D: 34.56% | Est. Population: 4096
C: 66.00%, D: 34.00% | Est. Population: 4096
C: 66.04%, D: 33.96% | Est. Population: 4096
C: 66.00%, D: 34.00% | Est. Population: 4096
C: 65.64%, D: 34.36% | Est. Population: 4096
C: 66.00%, D: 34.00% | Est. Population: 4096
C: 65.64%, D: 34.36% | Est. Population: 4096
C: 66.00%, D: 34.00% | Est. Population: 4096
C: 64.52%, D: 35.48% | Est. Population: 4096
C: 64.48%, D: 35.52% | Est. Population: 4096
C: 64.52%, D: 35.48% | Est. Population: 4096
C: 64.52%, D: 35.48% | Est. Population: 4096
C: 64.04%, D: 35.96% | Est. Population: 4096
C: 63.88%, D: 36.12% | Est. Population: 4096
C: 63.80%, D: 36.20% | Est. Population: 4096
C: 63.84%, D: 36.16% | Est. Population: 4096
C: 64.00%, D: 36.00% | Est. Population: 4096
C: 64.00%, D: 36.00% | Est. Population: 4096
C: 64.28%, D: 35.72% | Est. Population: 4096
C: 64.28%, D: 35.72% | Est. Population: 4096
C: 64.56%, D: 35.44% | Est. Population: 4096
C: 64.56%, D: 35.44% | Est. Population: 4096

16 threadCount:
C: 54.04%, D: 45.96% | Est. Population: 2048
C: 55.48%, D: 44.52% | Est. Population: 2048
C: 56.80%, D: 43.20% | Est. Population: 2048
C: 57.88%, D: 42.12% | Est. Population: 2048
C: 59.32%, D: 40.68% | Est. Population: 2048
C: 59.36%, D: 40.64% | Est. Population: 2048
C: 55.48%, D: 44.52% | Est. Population: 2048
C: 59.52%, D: 40.48% | Est. Population: 2048
C: 59.92%, D: 40.08% | Est. Population: 2048
C: 61.36%, D: 38.64% | Est. Population: 2048
C: 61.48%, D: 38.52% | Est. Population: 2048
C: 62.56%, D: 37.44% | Est. Population: 2048
C: 62.56%, D: 37.44% | Est. Population: 2048
C: 62.56%, D: 37.44% | Est. Population: 2048
C: 62.56%, D: 37.44% | Est. Population: 2048
C: 62.36%, D: 37.64% | Est. Population: 2048
C: 62.56%, D: 37.44% | Est. Population: 2048
C: 62.44%, D: 37.56% | Est. Population: 2048
C: 63.08%, D: 36.92% | Est. Population: 2048
C: 62.16%, D: 37.84% | Est. Population: 2048
C: 62.36%, D: 37.64% | Est. Population: 2048
C: 62.44%, D: 37.56% | Est. Population: 2048
C: 62.44%, D: 37.56% | Est. Population: 2048
C: 62.40%, D: 37.60% | Est. Population: 2048
C: 62.48%, D: 37.52% | Est. Population: 2048
C: 62.48%, D: 37.52% | Est. Population: 2048
C: 63.40%, D: 36.60% | Est. Population: 2048
C: 63.00%, D: 37.00% | Est. Population: 2048
C: 63.32%, D: 36.68% | Est. Population: 2048
C: 63.80%, D: 36.20% | Est. Population: 2048
C: 63.96%, D: 36.04% | Est. Population: 2048
C: 64.00%, D: 36.00% | Est. Population: 2048
C: 63.84%, D: 36.16% | Est. Population: 2048
C: 63.92%, D: 36.08% | Est. Population: 2048
C: 64.36%, D: 35.64% | Est. Population: 2048
C: 64.72%, D: 35.28% | Est. Population: 2048
C: 64.48%, D: 35.52% | Est. Population: 2048
C: 64.80%, D: 35.20% | Est. Population: 2048
C: 64.60%, D: 35.40% | Est. Population: 2048
C: 64.60%, D: 35.40% | Est. Population: 2048
C: 64.60%, D: 35.40% | Est. Population: 2048
C: 64.56%, D: 35.44% | Est. Population: 2048
C: 64.20%, D: 35.80% | Est. Population: 2048
C: 64.68%, D: 35.32% | Est. Population: 2048
C: 64.68%, D: 35.32% | Est. Population: 2048
C: 64.84%, D: 35.16% | Est. Population: 2048
C: 64.36%, D: 35.64% | Est. Population: 2048
C: 64.08%, D: 35.92% | Est. Population: 2048
C: 64.12%, D: 35.88% | Est. Population: 2048
C: 64.08%, D: 35.92% | Est. Population: 2048
C: 64.00%, D: 36.00% | Est. Population: 2048
C: 63.64%, D: 36.36% | Est. Population: 2048
C: 63.60%, D: 36.40% | Est. Population: 2048
C: 63.60%, D: 36.40% | Est. Population: 2048
C: 63.80%, D: 36.20% | Est. Population: 2048
C: 63.52%, D: 36.48% | Est. Population: 2048
C: 64.04%, D: 35.96% | Est. Population: 2048
C: 64.00%, D: 36.00% | Est. Population: 2048
C: 64.48%, D: 35.52% | Est. Population: 2048
C: 64.32%, D: 35.68% | Est. Population: 2048
C: 64.44%, D: 35.56% | Est. Population: 2048
C: 64.44%, D: 35.56% | Est. Population: 2048
C: 64.68%, D: 35.32% | Est. Population: 2048
C: 64.64%, D: 35.36% | Est. Population: 2048
C: 64.24%, D: 35.76% | Est. Population: 2048
C: 64.08%, D: 35.92% | Est. Population: 2048
C: 64.20%, D: 35.80% | Est. Population: 2048
C: 64.60%, D: 35.40% | Est. Population: 2048
C: 64.88%, D: 35.12% | Est. Population: 2048
C: 64.52%, D: 35.48% | Est. Population: 2048
C: 64.48%, D: 35.52% | Est. Population: 2048
C: 64.60%, D: 35.40% | Est. Population: 2048
C: 64.80%, D: 35.20% | Est. Population: 2048
C: 64.64%, D: 35.36% | Est. Population: 2048
C: 64.64%, D: 35.36% | Est. Population: 2048
C: 64.68%, D: 35.32% | Est. Population: 2048
C: 65.08%, D: 34.92% | Est. Population: 2048
C: 64.40%, D: 35.60% | Est. Population: 2048
C: 64.40%, D: 35.60% | Est. Population: 2048
C: 64.00%, D: 36.00% | Est. Population: 2048
C: 64.32%, D: 35.68% | Est. Population: 2048
C: 64.32%, D: 35.68% | Est. Population: 2048
C: 64.32%, D: 35.68% | Est. Population: 2048
C: 64.12%, D: 35.88% | Est. Population: 2048
C: 64.12%, D: 35.88% | Est. Population: 2048
C: 64.12%, D: 35.88% | Est. Population: 2048
C: 64.16%, D: 35.84% | Est. Population: 2048
C: 64.16%, D: 35.84% | Est. Population: 2048
C: 64.40%, D: 35.60% | Est. Population: 2048
C: 64.16%, D: 35.84% | Est. Population: 2048
C: 64.52%, D: 35.48% | Est. Population: 2048
C: 65.00%, D: 35.00% | Est. Population: 2048
C: 64.80%, D: 35.20% | Est. Population: 2048
C: 65.04%, D: 34.96% | Est. Population: 2048
C: 65.12%, D: 34.88% | Est. Population: 2048
C: 65.04%, D: 34.96% | Est. Population: 2048
C: 65.04%, D: 34.96% | Est. Population: 2048
C: 65.04%, D: 34.96% | Est. Population: 2048
C: 64.84%, D: 35.16% | Est. Population: 2048
C: 64.64%, D: 35.36% | Est. Population: 2048
C: 64.64%, D: 35.36% | Est. Population: 2048
C: 64.16%, D: 35.84% | Est. Population: 2048
C: 64.32%, D: 35.68% | Est. Population: 2048
C: 64.88%, D: 35.12% | Est. Population: 2048
C: 64.88%, D: 35.12% | Est. Population: 2048
C: 64.56%, D: 35.44% | Est. Population: 2048
C: 64.36%, D: 35.64% | Est. Population: 2048
C: 64.20%, D: 35.80% | Est. Population: 2048
C: 63.56%, D: 36.44% | Est. Population: 2048
C: 64.20%, D: 35.80% | Est. Population: 2048
C: 64.32%, D: 35.68% | Est. Population: 2048
C: 64.32%, D: 35.68% | Est. Population: 2048

32 threadCount:
C: 53.96%, D: 46.04% | Est. Population: 1024
C: 55.28%, D: 44.72% | Est. Population: 1024
C: 56.64%, D: 43.36% | Est. Population: 1024
C: 57.80%, D: 42.20% | Est. Population: 1024
C: 57.92%, D: 42.08% | Est. Population: 1024
C: 58.48%, D: 41.52% | Est. Population: 1024
C: 59.08%, D: 40.92% | Est. Population: 1024
C: 60.16%, D: 39.84% | Est. Population: 1024
C: 60.12%, D: 39.88% | Est. Population: 1024
C: 60.76%, D: 39.24% | Est. Population: 1024
C: 61.36%, D: 38.64% | Est. Population: 1024
C: 62.44%, D: 37.56% | Est. Population: 1024
C: 62.52%, D: 37.48% | Est. Population: 1024
C: 62.84%, D: 37.16% | Est. Population: 1024
C: 62.92%, D: 37.08% | Est. Population: 1024
C: 63.00%, D: 37.00% | Est. Population: 1024
C: 62.96%, D: 37.04% | Est. Population: 1024
C: 62.96%, D: 37.04% | Est. Population: 1024
C: 62.96%, D: 37.04% | Est. Population: 1024
C: 62.96%, D: 37.04% | Est. Population: 1024
