
1 threadCount:
C: 54.00%, D: 46.00% | Est. Population: 128
C: 64.60%, D: 35.40% | Est. Population: 8192
C: 64.16%, D: 35.84% | Est. Population: 8192
C: 64.36%, D: 35.64% | Est. Population: 8192
C: 64.52%, D: 35.48% | Est. Population: 8192
C: 64.00%, D: 36.00% | Est. Population: 8192
C: 64.16%, D: 35.84% | Est. Population: 8192
C: 63.80%, D: 36.20% | Est. Population: 8192
C: 63.92%, D: 36.08% | Est. Population: 8192
C: 64.32%, D: 35.68% | Est. Population: 8192
C: 64.12%, D: 35.88% | Est. Population: 8192
C: 64.04%, D: 35.96% | Est. Population: 8192
C: 64.32%, D: 35.68% | Est. Population: 8192
C: 64.00%, D: 36.00% | Est. Population: 8192
C: 63.92%, D: 36.08% | Est. Population: 8192
C: 64.44%, D: 35.56% | Est. Population: 8192
C: 64.24%, D: 35.76% | Est. Population: 8192

2 threadCount:
C: 54.00%, D: 46.00% | Est. Population: 256
C: 55.72%, D: 44.28% | Est. Population: 256
C: 56.24%, D: 43.76% | Est. Population: 256
C: 56.24%, D: 43.76% | Est. Population: 256
C: 57.00%, D: 43.00% | Est. Population: 256
C: 57.44%, D: 42.56% | Est. Population: 256
C: 58.28%, D: 41.72% | Est. Population: 256
C: 58.96%, D: 41.04% | Est. Population: 256
C: 59.60%, D: 40.40% | Est. Population: 256
C: 60.24%, D: 39.76% | Est. Population: 256
C: 60.36%, D: 39.64% | Est. Population: 256
C: 61.60%, D: 38.40% | Est. Population: 256
C: 61.60%, D: 38.40% | Est. Population: 256
C: 62.52%, D: 37.48% | Est. Population: 256
C: 62.52%, D: 37.48% | Est. Population: 256
C: 62.68%, D: 37.32% | Est. Population: 256
C: 63.00%, D: 37.00% | Est. Population: 256
C: 63.40%, D: 36.60% | Est. Population: 256
C: 63.52%, D: 36.48% | Est. Population: 256
C: 63.96%, D: 36.04% | Est. Population: 256
C: 63.96%, D: 36.04% | Est. Population: 256
C: 63.96%, D: 36.04% | Est. Population: 256
C: 63.96%, D: 36.04% | Est. Population: 256
C: 63.52%, D: 36.48% | Est. Population: 256
C: 63.52%, D: 36.48% | Est. Population: 256
C: 63.56%, D: 36.44% | Est. Population: 256
C: 63.56%, D: 36.44% | Est. Population: 256
C: 64.08%, D: 35.92% | Est. Population: 256
C: 64.08%, D: 35.92% | Est. Population: 256
C: 63.88%, D: 36.12% | Est. Population: 256
C: 64.24%, D: 35.76% | Est. Population: 256
C: 64.24%, D: 35.76% | Est. Population: 256
C: 64.16%, D: 35.84% | Est. Population: 256
C: 64.16%, D: 35.84% | Est. Population: 256
C: 64.24%, D: 35.76% | Est. Population: 256
C: 64.24%, D: 35.76% | Est. Population: 256
C: 63.72%, D: 36.28% | Est. Population: 256
C: 63.72%, D: 36.28% | Est. Population: 256
C: 63.32%, D: 36.68% | Est. Population: 512
C: 63.32%, D: 36.68% | Est. Population: 512
C: 63.76%, D: 36.24% | Est. Population: 512
C: 63.76%, D: 36.24% | Est. Population: 512
C: 63.88%, D: 36.12% | Est. Population: 512
C: 63.88%, D: 36.12% | Est. Population: 512
C: 63.96%, D: 36.04% | Est. Population: 512
C: 64.04%, D: 35.96% | Est. Population: 512
C: 63.52%, D: 36.48% | Est. Population: 512
C: 63.52%, D: 36.48% | Est. Population: 512
C: 63.68%, D: 36.32% | Est. Population: 512
C: 63.68%, D: 36.32% | Est. Population: 512
C: 63.56%, D: 36.44% | Est. Population: 512
C: 63.56%, D: 36.44% | Est. Population: 512
C: 64.00%, D: 36.00% | Est. Population: 512
C: 63.88%, D: 36.12% | Est. Population: 512
C: 64.36%, D: 35.64% | Est. Population: 512
C: 64.36%, D: 35.64% | Est. Population: 512
C: 64.56%, D: 35.44% | Est. Population: 512
C: 64.56%, D: 35.44% | Est. Population: 512
C: 64.24%, D: 35.76% | Est. Population: 512
C: 64.36%, D: 35.64% | Est. Population: 512
C: 64.24%, D: 35.76% | Est. Population: 512
C: 64.24%, D: 35.76% | Est. Population: 512
C: 64.44%, D: 35.56% | Est. Population: 512
C: 64.20%, D: 35.80% | Est. Population: 512
C: 64.32%, D: 35.68% | Est. Population: 512
C: 64.00%, D: 36.00% | Est. Population: 512
C: 64.00%, D: 36.00% | Est. Population: 512
C: 63.96%, D: 36.04% | Est. Population: 512
C: 64.16%, D: 35.84% | Est. Population: 512
C: 64.12%, D: 35.88% | Est. Population: 512
C: 64.32%, D: 35.68% | Est. Population: 512
C: 64.24%, D: 35.76% | Est. Population: 512
C: 64.12%, D: 35.88% | Est. Population: 512
C: 64.16%, D: 35.84% | Est. Population: 512
C: 65.08%, D: 34.92% | Est. Population: 512
C: 65.08%, D: 34.92% | Est. Population: 512
C: 65.36%, D: 34.64% | Est. Population: 512
C: 65.16%, D: 34.84% | Est. Population: 512
C: 65.28%, D: 34.72% | Est. Population: 512
C: 65.28%, D: 34.72% | Est. Population: 512
C: 66.04%, D: 33.96% | Est. Population: 512
C: 65.60%, D: 34.40% | Est. Population: 512
C: 65.40%, D: 34.60% | Est. Population: 512
C: 65.32%, D: 34.68% | Est. Population: 512
C: 65.16%, D: 34.84% | Est. Population: 512
C: 65.20%, D: 34.80% | Est. Population: 512
C: 65.56%, D: 34.44% | Est. Population: 16384
C: 65.28%, D: 34.72% | Est. Population: 16384
C: 65.56%, D: 34.44% | Est. Population: 16384
C: 65.32%, D: 34.68% | Est. Population: 16384
C: 64.84%, D: 35.16% | Est. Population: 16384
C: 64.84%, D: 35.16% | Est. Population: 16384
C: 64.72%, D: 35.28% | Est. Population: 16384
C: 65.04%, D: 34.96% | Est. Population: 16384
C: 65.04%, D: 34.96% | Est. Population: 16384
C: 64.84%, D: 35.16% | Est. Population: 16384
C: 64.84%, D: 35.16% | Est. Population: 16384
C: 64.84%, D: 35.16% | Est. Population: 16384
C: 64.80%, D: 35.20% | Est. Population: 16384
C: 64.80%, D: 35.20% | Est. Population: 16384

4 threadCount:
C: 54.08%, D: 45.92% | Est. Population: 512
C: 55.40%, D: 44.60% | Est. Population: 512
C: 56.44%, D: 43.56% | Est. Population: 512
C: 56.92%, D: 43.08% | Est. Population: 512
C: 57.72%, D: 42.28% | Est. Population: 512
C: 57.76%, D: 42.24% | Est. Population: 512
C: 58.16%, D: 41.84% | Est. Population: 512
C: 58.56%, D: 41.44% | Est. Population: 512
C: 59.12%, D: 40.88% | Est. Population: 512
C: 59.80%, D: 40.20% | Est. Population: 512
C: 60.20%, D: 39.80% | Est. Population: 512
C: 60.44%, D: 39.56% | Est. Population: 512
C: 60.80%, D: 39.20% | Est. Population: 512
C: 60.80%, D: 39.20% | Est. Population: 512
C: 60.80%, D: 39.20% | Est. Population: 512
C: 61.08%, D: 38.92% | Est. Population: 512
C: 61.00%, D: 39.00% | Est. Population: 512
C: 61.12%, D: 38.88% | Est. Population: 512
C: 62.00%, D: 38.00% | Est. Population: 512
C: 62.12%, D: 37.88% | Est. Population: 512
C: 62.64%, D: 37.36% | Est. Population: 512
C: 62.40%, D: 37.60% | Est. Population: 512
C: 62.68%, D: 37.32% | Est. Population: 512
C: 63.56%, D: 36.44% | Est. Population: 512
C: 63.60%, D: 36.40% | Est. Population: 512
C: 64.28%, D: 35.72% | Est. Population: 512
C: 64.32%, D: 35.68% | Est. Population: 512
C: 64.60%, D: 35.40% | Est. Population: 4096
C: 64.28%, D: 35.72% | Est. Population: 4096
C: 64.28%, D: 35.72% | Est. Population: 4096
C: 64.32%, D: 35.68% | Est. Population: 4096
C: 64.64%, D: 35.36% | Est. Population: 4096
C: 64.84%, D: 35.16% | Est. Population: 4096
C: 65.00%, D: 35.00% | Est. Population: 4096
C: 65.00%, D: 35.00% | Est. Population: 4096
C: 64.32%, D: 35.68% | Est. Population: 4096
C: 64.60%, D: 35.40% | Est. Population: 4096
C: 64.60%, D: 35.40% | Est. Population: 4096
C: 64.60%, D: 35.40% | Est. Population: 4096
C: 64.56%, D: 35.44% | Est. Population: 4096
C: 64.44%, D: 35.56% | Est. Population: 4096
C: 64.40%, D: 35.60% | Est. Population: 4096
C: 64.40%, D: 35.60% | Est. Population: 4096
C: 64.40%, D: 35.60% | Est. Population: 4096
C: 64.40%, D: 35.60% | Est. Population: 4096
C: 64.20%, D: 35.80% | Est. Population: 4096
C: 64.04%, D: 35.96% | Est. Population: 4096
C: 63.60%, D: 36.40% | Est. Population: 4096
C: 63.68%, D: 36.32% | Est. Population: 4096
C: 63.52%, D: 36.48% | Est. Population: 4096
C: 63.20%, D: 36.80% | Est. Population: 4096
C: 64.24%, D: 35.76% | Est. Population: 4096
C: 63.84%, D: 36.16% | Est. Population: 4096
C: 63.84%, D: 36.16% | Est. Population: 4096
C: 63.92%, D: 36.08% | Est. Population: 4096
C: 64.08%, D: 35.92% | Est. Population: 4096
C: 64.24%, D: 35.76% | Est. Population: 4096
C: 64.20%, D: 35.80% | Est. Population: 4096
C: 64.20%, D: 35.80% | Est. Population: 4096
C: 64.20%, D: 35.80% | Est. Population: 4096
C: 64.72%, D: 35.28% | Est. Population: 4096
C: 64.72%, D: 35.28% | Est. Population: 4096
C: 64.84%, D: 35.16% | Est. Population: 4096
C: 64.56%, D: 35.44% | Est. Population: 4096
C: 64.76%, D: 35.24% | Est. Population: 4096
C: 64.72%, D: 35.28% | Est. Population: 4096
C: 64.68%, D: 35.32% | Est. Population: 4096
C: 64.64%, D: 35.36% | Est. Population: 4096
C: 64.44%, D: 35.56% | Est. Population: 4096
C: 64.52%, D: 35.48% | Est. Population: 4096
C: 64.28%, D: 35.72% | Est. Population: 4096
C: 64.36%, D: 35.64% | Est. Population: 4096
C: 63.64%, D: 36.36% | Est. Population: 4096
C: 63.60%, D: 36.40% | Est. Population: 4096
C: 63.60%, D: 36.40% | Est. Population: 4096
C: 63.60%, D: 36.40% | Est. Population: 4096
C: 63.52%, D: 36.48% | Est. Population: 4096
C: 63.40%, D: 36.60% | Est. Population: 4096
C: 63.64%, D: 36.36% | Est. Population: 4096
C: 63.76%, D: 36.24% | Est. Population: 4096
C: 63.80%, D: 36.20% | Est. Population: 4096
C: 63.80%, D: 36.20% | Est. Population: 4096
C: 63.68%, D: 36.32% | Est. Population: 4096
C: 63.72%, D: 36.28% | Est. Population: 4096
C: 63.72%, D: 36.28% | Est. Population: 4096
C: 64.20%, D: 35.80% | Est. Population: 4096
C: 64.24%, D: 35.76% | Est. Population: 4096
C: 64.28%, D: 35.72% | Est. Population: 4096
C: 64.28%, D: 35.72% | Est. Population: 4096
C: 64.36%, D: 35.64% | Est. Population: 4096
C: 65.04%, D: 34.96% | Est. Population: 4096
C: 65.08%, D: 34.92% | Est. Population: 4096
C: 65.08%, D: 34.92% | Est. Population: 4096
C: 64.96%, D: 35.04% | Est. Population: 4096
C: 64.76%, D: 35.24% | Est. Population: 4096
C: 64.76%, D: 35.24% | Est. Population: 4096
C: 64.72%, D: 35.28% | Est. Population: 4096
C: 64.80%, D: 35.20% | Est. Population: 4096
C: 64.92%, D: 35.08% | Est. Population: 4096
C: 64.48%, D: 35.52% | Est. Population: 4096

8 threadCount:
C: 54.08%, D: 45.92% | Est. Population: 1024
C: 54.08%, D: 45.92% | Est. Population: 1024
C: 57.76%, D: 42.24% | Est. Population: 1024
C: 57.84%, D: 42.16% | Est. Population: 1024
C: 58.76%, D: 41.24% | Est. Population: 1024
C: 60.28%, D: 39.72% | Est. Population: 1024
C: 60.28%, D: 39.72% | Est. Population: 1024
C: 60.28%, D: 39.72% | Est. Population: 1024
C: 60.28%, D: 39.72% | Est. Population: 1024
C: 60.28%, D: 39.72% | Est. Population: 1024
C: 61.76%, D: 38.24% | Est. Population: 1024
C: 62.48%, D: 37.52% | Est. Population: 1024
C: 63.12%, D: 36.88% | Est. Population: 1024
C: 63.16%, D: 36.84% | Est. Population: 1024
C: 63.20%, D: 36.80% | Est. Population: 1024
C: 63.16%, D: 36.84% | Est. Population: 1024
C: 63.76%, D: 36.24% | Est. Population: 1024
C: 63.56%, D: 36.44% | Est. Population: 1024
C: 64.28%, D: 35.72% | Est. Population: 1024
C: 64.28%, D: 35.72% | Est. Population: 1024
C: 64.16%, D: 35.84% | Est. Population: 1024
C: 64.36%, D: 35.64% | Est. Population: 1024
C: 64.20%, D: 35.80% | Est. Population: 1024
C: 64.12%, D: 35.88% | Est. Population: 1024
C: 63.96%, D: 36.04% | Est. Population: 1024
C: 64.00%, D: 36.00% | Est. Population: 1024
C: 63.96%, D: 36.04% | Est. Population: 1024
C: 64.00%, D: 36.00% | Est. Population: 1024
C: 64.08%, D: 35.92% | Est. Population: 1024
C: 64.40%, D: 35.60% | Est. Population: 1024
C: 64.28%, D: 35.72% | Est. Population: 1024
C: 65.20%, D: 34.80% | Est. Population: 1024
C: 65.40%, D: 34.60% | Est. Population: 1024
C: 65.00%, D: 35.00% | Est. Population: 1024
C: 64.84%, D: 35.16% | Est. Population: 1024
C: 64.48%, D: 35.52% | Est. Population: 1024
C: 64.28%, D: 35.72% | Est. Population: 1024
C: 64.12%, D: 35.88% | Est. Population: 1024
C: 64.24%, D: 35.76% | Est. Population: 1024
C: 64.12%, D: 35.88% | Est. Population: 1024
C: 64.52%, D: 35.48% | Est. Population: 1024
C: 64.64%, D: 35.36% | Est. Population: 1024
C: 63.72%, D: 36.28% | Est. Population: 1024
C: 63.68%, D: 36.32% | Est. Population: 1024
C: 63.52%, D: 36.48% | Est. Population: 1024
C: 63.44%, D: 36.56% | Est. Population: 1024
C: 63.36%, D: 36.64% | Est. Population: 1024
C: 63.40%, D: 36.60% | Est. Population: 1024
C: 63.36%, D: 36.64% | Est. Population: 1024
C: 62.96%, D: 37.04% | Est. Population: 1024
C: 62.76%, D: 37.24% | Est. Population: 1024
C: 62.80%, D: 37.20% | Est. Population: 1024
C: 63.36%, D: 36.64% | Est. Population: 1024
C: 63.68%, D: 36.32% | Est. Population: 1024
C: 63.72%, D: 36.28% | Est. Population: 1024
C: 63.48%, D: 36.52% | Est. Population: 1024
C: 63.52%, D: 36.48% | Est. Population: 1024
C: 63.76%, D: 36.24% | Est. Population: 1024
C: 64.20%, D: 35.80% | Est. Population: 1024
C: 64.12%, D: 35.88% | Est. Population: 1024
C: 64.48%, D: 35.52% | Est. Population: 1024
C: 64.56%, D: 35.44% | Est. Population: 1024
C: 64.72%, D: 35.28% | Est. Population: 1024
C: 64.80%, D: 35.20% | Est. Population: 1024
C: 64.88%, D: 35.12% | Est. Population: 1024
C: 65.52%, D: 34.48% | Est. Population: 1024
C: 65.72%, D: 34.28% | Est. Population: 1024
C: 65.64%, D: 34.36% | Est. Population: 1024
C: 65.32%, D: 34.68% | Est. Population: 1024
C: 65.04%, D: 34.96% | Est. Population: 1024
C: 65.00%, D: 35.00% | Est. Population: 1024
C: 65.04%, D: 34.96% | Est. Population: 1024
C: 65.12%, D: 34.88% | Est. Population: 1024
C: 64.96%, D: 35.04% | Est. Population: 1024
C: 64.60%, D: 35.40% | Est. Population: 1024
C: 64.60%, D: 35.40% | Est. Population: 1024
C: 64.64%, D: 35.36% | Est. Population: 1024
C: 64.96%, D: 35.04% | Est. Population: 1024
C: 65.32%, D: 34.68% | Est. Population: 1024
C: 65.32%, D: 34.68% | Est. Population: 1024
C: 65.32%, D: 34.68% | Est. Population: 1024
C: 65.40%, D: 34.60% | Est. Population: 1024
C: 65.52%, D: 34.48% | Est. Population: 1024
C: 64.88%, D: 35.12% | Est. Population: 1024
C: 64.92%, D: 35.08% | Est. Population: 1024
C: 64.76%, D: 35.24% | Est. Population: 1024
C: 64.76%, D: 35.24% | Est. Population: 1024
C: 64.80%, D: 35.20% | Est. Population: 1024
C: 64.88%, D: 35.12% | Est. Population: 1024
C: 64.88%, D: 35.12% | Est. Population: 1024
C: 65.00%, D: 35.00% | Est. Population: 1024
C: 64.84%, D: 35.16% | Est. Population: 1024
C: 64.84%, D: 35.16% | Est. Population: 1024
C: 65.08%, D: 34.92% | Est. Population: 1024
C: 65.08%, D: 34.92% | Est. Population: 1024
C: 65.04%, D: 34.96% | Est. Population: 1024
C: 65.00%, D: 35.00% | Est. Population: 1024
C: 64.92%, D: 35.08% | Est. Population: 1024
C: 65.08%, D: 34.92% | Est. Population: 1024
C: 65.00%, D: 35.00% | Est. Population: 1024
C: 65.24%, D: 34.76% | Est. Population: 1024
C: 65.52%, D: 34.48% | Est. Population: 1024
C: 65.52%, D: 34.48% | Est. Population: 1024
C: 65.28%, D: 34.72% | Est. Population: 1024

16 threadCount:
C: 53.96%, D: 46.04% | Est. Population: 4096
C: 55.92%, D: 44.08% | Est. Population: 4096
C: 57.00%, D: 43.00% | Est. Population: 4096
C: 57.00%, D: 43.00% | Est. Population: 4096
C: 58.44%, D: 41.56% | Est. Population: 4096
C: 58.44%, D: 41.56% | Est. Population: 4096
C: 59.64%, D: 40.36% | Est. Population: 4096
C: 59.72%, D: 40.28% | Est. Population: 4096
C: 59.96%, D: 40.04% | Est. Population: 4096
C: 60.40%, D: 39.60% | Est. Population: 4096
C: 61.28%, D: 38.72% | Est. Population: 4096
C: 61.36%, D: 38.64% | Est. Population: 4096
C: 62.12%, D: 37.88% | Est. Population: 4096
C: 62.00%, D: 38.00% | Est. Population: 4096
C: 61.88%, D: 38.12% | Est. Population: 4096
C: 61.84%, D: 38.16% | Est. Population: 4096
C: 61.84%, D: 38.16% | Est. Population: 4096
C: 61.72%, D: 38.28% | Est. Population: 4096
C: 61.80%, D: 38.20% | Est. Population: 4096
C: 61.92%, D: 38.08% | Est. Population: 4096
C: 61.72%, D: 38.28% | Est. Population: 4096
C: 62.60%, D: 37.40% | Est. Population: 4096
C: 63.00%, D: 37.00% | Est. Population: 4096
C: 63.84%, D: 36.16% | Est. Population: 4096
C: 64.08%, D: 35.92% | Est. Population: 4096
C: 64.00%, D: 36.00% | Est. Population: 4096
C: 64.08%, D: 35.92% | Est. Population: 4096
C: 64.00%, D: 36.00% | Est. Population: 4096
C: 64.20%, D: 35.80% | Est. Population: 4096
C: 64.44%, D: 35.56% | Est. Population: 4096
C: 64.16%, D: 35.84% | Est. Population: 4096
C: 64.32%, D: 35.68% | Est. Population: 4096
C: 64.64%, D: 35.36% | Est. Population: 4096
C: 64.52%, D: 35.48% | Est. Population: 4096
C: 64.24%, D: 35.76% | Est. Population: 4096
C: 64.24%, D: 35.76% | Est. Population: 4096
C: 64.12%, D: 35.88% | Est. Population: 4096
C: 64.20%, D: 35.80% | Est. Population: 4096
C: 64.28%, D: 35.72% | Est. Population: 4096
C: 64.44%, D: 35.56% | Est. Population: 4096
C: 64.40%, D: 35.60% | Est. Population: 4096
C: 64.52%, D: 35.48% | Est. Population: 4096
C: 65.08%, D: 34.92% | Est. Population: 4096
C: 65.16%, D: 34.84% | Est. Population: 4096
C: 65.08%, D: 34.92% | Est. Population: 4096
C: 65.08%, D: 34.92% | Est. Population: 4096
C: 65.16%, D: 34.84% | Est. Population: 4096
C: 64.52%, D: 35.48% | Est. Population: 4096
C: 64.32%, D: 35.68% | Est. Population: 4096
C: 64.00%, D: 36.00% | Est. Population: 4096
C: 63.96%, D: 36.04% | Est. Population: 4096
C: 64.12%, D: 35.88% | Est. Population: 4096
C: 64.08%, D: 35.92% | Est. Population: 4096
C: 64.04%, D: 35.96% | Est. Population: 4096
C: 64.32%, D: 35.68% | Est. Population: 4096
C: 64.36%, D: 35.64% | Est. Population: 4096
C: 64.48%, D: 35.52% | Est. Population: 4096
C: 64.36%, D: 35.64% | Est. Population: 4096
C: 64.36%, D: 35.64% | Est. Population: 4096
C: 64.36%, D: 35.64% | Est. Population: 4096
C: 64.80%, D: 35.20% | Est. Population: 4096
C: 64.84%, D: 35.16% | Est. Population: 4096
C: 64.76%, D: 35.24% | Est. Population: 4096
C: 64.84%, D: 35.16% | Est. Population: 4096
C: 64.64%, D: 35.36% | Est. Population: 4096
C: 65.16%, D: 34.84% | Est. Population: 4096
C: 64.88%, D: 35.12% | Est. Population: 4096
C: 64.60%, D: 35.40% | Est. Population: 4096
C: 64.88%, D: 35.12% | Est. Population: 4096
C: 64.64%, D: 35.36% | Est. Population: 4096
C: 64.64%, D: 35.36% | Est. Population: 4096
C: 65.24%, D: 34.76% | Est. Population: 4096
C: 65.24%, D: 34.76% | Est. Population: 4096
C: 65.04%, D: 34.96% | Est. Population: 4096
C: 64.64%, D: 35.36% | Est. Population: 4096
C: 64.76%, D: 35.24% | Est. Population: 4096
C: 64.60%, D: 35.40% | Est. Population: 4096
C: 64.72%, D: 35.28% | Est. Population: 4096
C: 64.80%, D: 35.20% | Est. Population: 4096
C: 64.76%, D: 35.24% | Est. Population: 4096
C: 64.16%, D: 35.84% | Est. Population: 4096
C: 64.16%, D: 35.84% | Est. Population: 4096
C: 64.16%, D: 35.84% | Est. Population: 4096
C: 64.12%, D: 35.88% | Est. Population: 4096
C: 64.64%, D: 35.36% | Est. Population: 4096
C: 64.64%, D: 35.36% | Est. Population: 4096
C: 64.44%, D: 35.56% | Est. Population: 4096
C: 64.40%, D: 35.60% | Est. Population: 4096
C: 64.72%, D: 35.28% | Est. Population: 4096
C: 64.24%, D: 35.76% | Est. Population: 4096
C: 64.96%, D: 35.04% | Est. Population: 4096
C: 64.72%, D: 35.28% | Est. Population: 4096
C: 64.76%, D: 35.24% | Est. Population: 4096
C: 64.80%, D: 35.20% | Est. Population: 4096
C: 64.80%, D: 35.20% | Est. Population: 4096
C: 64.92%, D: 35.08% | Est. Population: 4096
C: 64.68%, D: 35.32% | Est. Population: 4096
C: 64.88%, D: 35.12% | Est. Population: 4096
C: 64.96%, D: 35.04% | Est. Population: 4096
C: 64.60%, D: 35.40% | Est. Population: 4096
C: 64.44%, D: 35.56% | Est. Population: 4096
C: 64.72%, D: 35.28% | Est. Population: 4096
C: 64.72%, D: 35.28% | Est. Population: 4096
C: 64.48%, D: 35.52% | Est. Population: 4096
C: 64.52%, D: 35.48% | Est. Population: 4096
C: 64.44%, D: 35.56% | Est. Population: 4096
C: 64.68%, D: 35.32% | Est. Population: 4096
C: 64.36%, D: 35.64% | Est. Population: 4096
C: 64.48%, D: 35.52% | Est. Population: 4096
C: 64.36%, D: 35.64% | Est. Population: 4096
C: 64.72%, D: 35.28% | Est. Population: 4096
C: 64.72%, D: 35.28% | Est. Population: 4096

32 threadCount:
C: 54.00%, D: 46.00% | Est. Population: 512
C: 54.80%, D: 45.20% | Est. Population: 512
C: 55.72%, D: 44.28% | Est. Population: 512
C: 57.28%, D: 42.72% | Est. Population: 512
C: 57.48%, D: 42.52% | Est. Population: 512
C: 57.68%, D: 42.32% | Est. Population: 512
C: 58.04%, D: 41.96% | Est. Population: 512
C: 58.60%, D: 41.40% | Est. Population: 512
C: 58.48%, D: 41.52% | Est. Population: 512
C: 58.48%, D: 41.52% | Est. Population: 512
C: 58.44%, D: 41.56% | Est. Population: 512
C: 59.12%, D: 40.88% | Est. Population: 512
C: 60.64%, D: 39.36% | Est. Population: 512
C: 60.64%, D: 39.36% | Est. Population: 512
C: 60.64%, D: 39.36% | Est. Population: 512
C: 62.04%, D: 37.96% | Est. Population: 512
C: 62.20%, D: 37.80% | Est. Population: 512
C: 62.20%, D: 37.80% | Est. Population: 512
C: 63.08%, D: 36.92% | Est. Population: 512
C: 63.08%, D: 36.92% | Est. Population: 512
C: 58.52%, D: 41.48% | Est. Population: 512
C: 58.52%, D: 41.48% | Est. Population: 512
C: 58.52%, D: 41.48% | Est. Population: 512
C: 63.12%, D: 36.88% | Est. Population: 512
C: 61.24%, D: 38.76% | Est. Population: 512
