
1 threadCount:
C: 54.00%, D: 46.00% | Est. Population: 512
C: 65.92%, D: 34.08% | Est. Population: 1024
C: 65.84%, D: 34.16% | Est. Population: 1024
C: 65.84%, D: 34.16% | Est. Population: 1024
C: 65.00%, D: 35.00% | Est. Population: 1024
C: 64.92%, D: 35.08% | Est. Population: 1024
C: 64.92%, D: 35.08% | Est. Population: 1024
C: 64.92%, D: 35.08% | Est. Population: 1024
C: 65.08%, D: 34.92% | Est. Population: 1024
C: 65.00%, D: 35.00% | Est. Population: 1024
C: 65.44%, D: 34.56% | Est. Population: 1024
C: 65.48%, D: 34.52% | Est. Population: 1024
C: 65.16%, D: 34.84% | Est. Population: 1024
C: 65.08%, D: 34.92% | Est. Population: 1024
C: 65.12%, D: 34.88% | Est. Population: 1024
C: 65.16%, D: 34.84% | Est. Population: 1024
C: 65.44%, D: 34.56% | Est. Population: 1024
C: 65.36%, D: 34.64% | Est. Population: 1024
C: 65.36%, D: 34.64% | Est. Population: 1024
C: 65.40%, D: 34.60% | Est. Population: 1024
C: 65.12%, D: 34.88% | Est. Population: 1024
C: 65.28%, D: 34.72% | Est. Population: 1024
C: 65.28%, D: 34.72% | Est. Population: 1024
C: 65.28%, D: 34.72% | Est. Population: 1024
C: 65.12%, D: 34.88% | Est. Population: 1024
C: 65.24%, D: 34.76% | Est. Population: 1024
C: 65.32%, D: 34.68% | Est. Population: 1024
C: 65.36%, D: 34.64% | Est. Population: 1024
C: 65.44%, D: 34.56% | Est. Population: 1024
C: 65.44%, D: 34.56% | Est. Population: 1024
C: 65.56%, D: 34.44% | Est. Population: 1024
C: 65.44%, D: 34.56% | Est. Population: 1024
C: 65.44%, D: 34.56% | Est. Population: 1024
C: 65.44%, D: 34.56% | Est. Population: 1024
C: 65.40%, D: 34.60% | Est. Population: 1024
C: 65.40%, D: 34.60% | Est. Population: 1024
C: 65.32%, D: 34.68% | Est. Population: 1024
C: 65.32%, D: 34.68% | Est. Population: 1024

8 threadCount:
C: 53.96%, D: 46.04% | Est. Population: 512
C: 54.92%, D: 45.08% | Est. Population: 512
C: 56.32%, D: 43.68% | Est. Population: 512
C: 57.48%, D: 42.52% | Est. Population: 512
C: 57.44%, D: 42.56% | Est. Population: 512
C: 59.36%, D: 40.64% | Est. Population: 512
C: 59.40%, D: 40.60% | Est. Population: 512
C: 60.52%, D: 39.48% | Est. Population: 512
C: 60.52%, D: 39.48% | Est. Population: 512
C: 59.40%, D: 40.60% | Est. Population: 512
C: 60.04%, D: 39.96% | Est. Population: 512
C: 59.48%, D: 40.52% | Est. Population: 512
C: 60.76%, D: 39.24% | Est. Population: 512
C: 61.80%, D: 38.20% | Est. Population: 512
C: 63.48%, D: 36.52% | Est. Population: 512
C: 63.48%, D: 36.52% | Est. Population: 512
C: 63.48%, D: 36.52% | Est. Population: 512
C: 63.48%, D: 36.52% | Est. Population: 512
C: 63.48%, D: 36.52% | Est. Population: 512
C: 63.48%, D: 36.52% | Est. Population: 512
C: 63.48%, D: 36.52% | Est. Population: 512
C: 63.64%, D: 36.36% | Est. Population: 512
C: 63.72%, D: 36.28% | Est. Population: 512
C: 63.68%, D: 36.32% | Est. Population: 512
C: 63.84%, D: 36.16% | Est. Population: 512
C: 63.88%, D: 36.12% | Est. Population: 512
C: 63.72%, D: 36.28% | Est. Population: 512
C: 63.72%, D: 36.28% | Est. Population: 512
C: 63.72%, D: 36.28% | Est. Population: 512
C: 63.92%, D: 36.08% | Est. Population: 512
C: 63.88%, D: 36.12% | Est. Population: 512
C: 63.84%, D: 36.16% | Est. Population: 512
C: 64.16%, D: 35.84% | Est. Population: 512
C: 64.16%, D: 35.84% | Est. Population: 512
C: 64.36%, D: 35.64% | Est. Population: 512
C: 64.20%, D: 35.80% | Est. Population: 512
C: 64.36%, D: 35.64% | Est. Population: 512
C: 64.36%, D: 35.64% | Est. Population: 512
C: 64.44%, D: 35.56% | Est. Population: 512
C: 64.60%, D: 35.40% | Est. Population: 512
C: 63.92%, D: 36.08% | Est. Population: 512
C: 63.76%, D: 36.24% | Est. Population: 512
C: 63.72%, D: 36.28% | Est. Population: 512
C: 63.76%, D: 36.24% | Est. Population: 512
C: 63.72%, D: 36.28% | Est. Population: 512
C: 64.16%, D: 35.84% | Est. Population: 512
C: 64.48%, D: 35.52% | Est. Population: 512
C: 64.64%, D: 35.36% | Est. Population: 512
C: 65.12%, D: 34.88% | Est. Population: 512
C: 65.20%, D: 34.80% | Est. Population: 512
C: 65.08%, D: 34.92% | Est. Population: 512
C: 65.08%, D: 34.92% | Est. Population: 512
C: 64.76%, D: 35.24% | Est. Population: 512
C: 64.96%, D: 35.04% | Est. Population: 512
C: 65.00%, D: 35.00% | Est. Population: 512
C: 65.00%, D: 35.00% | Est. Population: 512
C: 64.92%, D: 35.08% | Est. Population: 512
C: 64.92%, D: 35.08% | Est. Population: 512
C: 64.84%, D: 35.16% | Est. Population: 512
C: 64.76%, D: 35.24% | Est. Population: 512
C: 64.60%, D: 35.40% | Est. Population: 512
C: 64.28%, D: 35.72% | Est. Population: 512
C: 64.56%, D: 35.44% | Est. Population: 512
C: 64.36%, D: 35.64% | Est. Population: 512
C: 64.48%, D: 35.52% | Est. Population: 512
C: 63.80%, D: 36.20% | Est. Population: 512
C: 63.80%, D: 36.20% | Est. Population: 512
C: 63.80%, D: 36.20% | Est. Population: 512
C: 63.92%, D: 36.08% | Est. Population: 512
C: 63.60%, D: 36.40% | Est. Population: 512
C: 63.56%, D: 36.44% | Est. Population: 512
C: 63.88%, D: 36.12% | Est. Population: 512
C: 63.20%, D: 36.80% | Est. Population: 512
C: 63.04%, D: 36.96% | Est. Population: 512
C: 62.92%, D: 37.08% | Est. Population: 512
C: 62.72%, D: 37.28% | Est. Population: 512
C: 62.76%, D: 37.24% | Est. Population: 512
C: 62.68%, D: 37.32% | Est. Population: 512
C: 62.64%, D: 37.36% | Est. Population: 512
C: 62.68%, D: 37.32% | Est. Population: 512
C: 62.44%, D: 37.56% | Est. Population: 512
C: 62.40%, D: 37.60% | Est. Population: 512
C: 62.08%, D: 37.92% | Est. Population: 512
C: 62.64%, D: 37.36% | Est. Population: 512
C: 62.68%, D: 37.32% | Est. Population: 512
C: 62.64%, D: 37.36% | Est. Population: 512
C: 63.48%, D: 36.52% | Est. Population: 512
C: 63.48%, D: 36.52% | Est. Population: 512
C: 62.72%, D: 37.28% | Est. Population: 512
C: 63.60%, D: 36.40% | Est. Population: 512
C: 62.64%, D: 37.36% | Est. Population: 512
C: 63.52%, D: 36.48% | Est. Population: 512
C: 63.84%, D: 36.16% | Est. Population: 512
C: 63.56%, D: 36.44% | Est. Population: 512
C: 64.36%, D: 35.64% | Est. Population: 512
C: 64.16%, D: 35.84% | Est. Population: 512
C: 64.36%, D: 35.64% | Est. Population: 512
C: 64.40%, D: 35.60% | Est. Population: 512
C: 64.68%, D: 35.32% | Est. Population: 512
C: 64.24%, D: 35.76% | Est. Population: 512
C: 63.68%, D: 36.32% | Est. Population: 512
C: 63.64%, D: 36.36% | Est. Population: 512
C: 63.88%, D: 36.12% | Est. Population: 512
C: 64.00%, D: 36.00% | Est. Population: 512

16 threadCount:
C: 53.96%, D: 46.04% | Est. Population: 16384
C: 54.28%, D: 45.72% | Est. Population: 16384
C: 54.28%, D: 45.72% | Est. Population: 16384
C: 57.04%, D: 42.96% | Est. Population: 16384
C: 57.08%, D: 42.92% | Est. Population: 16384
C: 59.24%, D: 40.76% | Est. Population: 16384
C: 59.24%, D: 40.76% | Est. Population: 16384
C: 61.20%, D: 38.80% | Est. Population: 16384
C: 61.24%, D: 38.76% | Est. Population: 16384
C: 61.64%, D: 38.36% | Est. Population: 16384
C: 61.64%, D: 38.36% | Est. Population: 16384
C: 62.12%, D: 37.88% | Est. Population: 16384
C: 62.20%, D: 37.80% | Est. Population: 16384
C: 61.88%, D: 38.12% | Est. Population: 16384
C: 61.44%, D: 38.56% | Est. Population: 16384
C: 61.44%, D: 38.56% | Est. Population: 16384
C: 61.96%, D: 38.04% | Est. Population: 16384
C: 64.12%, D: 35.88% | Est. Population: 16384
C: 64.36%, D: 35.64% | Est. Population: 16384
C: 64.04%, D: 35.96% | Est. Population: 16384
C: 64.48%, D: 35.52% | Est. Population: 16384
C: 64.52%, D: 35.48% | Est. Population: 16384
C: 64.36%, D: 35.64% | Est. Population: 16384
C: 64.32%, D: 35.68% | Est. Population: 16384
C: 64.28%, D: 35.72% | Est. Population: 16384
C: 64.24%, D: 35.76% | Est. Population: 16384
C: 65.00%, D: 35.00% | Est. Population: 16384
C: 64.96%, D: 35.04% | Est. Population: 16384
C: 65.12%, D: 34.88% | Est. Population: 16384
C: 64.68%, D: 35.32% | Est. Population: 16384
C: 64.92%, D: 35.08% | Est. Population: 16384
C: 65.00%, D: 35.00% | Est. Population: 16384
C: 64.92%, D: 35.08% | Est. Population: 16384
C: 64.96%, D: 35.04% | Est. Population: 16384
C: 64.80%, D: 35.20% | Est. Population: 16384
C: 65.08%, D: 34.92% | Est. Population: 16384
C: 64.80%, D: 35.20% | Est. Population: 16384
C: 65.04%, D: 34.96% | Est. Population: 16384
C: 64.64%, D: 35.36% | Est. Population: 16384
C: 64.36%, D: 35.64% | Est. Population: 16384
C: 65.00%, D: 35.00% | Est. Population: 16384
C: 64.80%, D: 35.20% | Est. Population: 16384
C: 64.72%, D: 35.28% | Est. Population: 16384
C: 64.84%, D: 35.16% | Est. Population: 16384
C: 65.08%, D: 34.92% | Est. Population: 16384
C: 64.60%, D: 35.40% | Est. Population: 16384
C: 64.92%, D: 35.08% | Est. Population: 16384
C: 64.80%, D: 35.20% | Est. Population: 16384
C: 64.96%, D: 35.04% | Est. Population: 16384
C: 64.84%, D: 35.16% | Est. Population: 16384
C: 65.28%, D: 34.72% | Est. Population: 16384
C: 65.36%, D: 34.64% | Est. Population: 16384
C: 65.56%, D: 34.44% | Est. Population: 16384
C: 65.00%, D: 35.00% | Est. Population: 16384
C: 65.04%, D: 34.96% | Est. Population: 16384
C: 64.96%, D: 35.04% | Est. Population: 16384
C: 65.36%, D: 34.64% | Est. Population: 16384
C: 64.52%, D: 35.48% | Est. Population: 16384
C: 65.08%, D: 34.92% | Est. Population: 16384
C: 64.68%, D: 35.32% | Est. Population: 16384
C: 64.32%, D: 35.68% | Est. Population: 16384
C: 64.36%, D: 35.64% | Est. Population: 16384
C: 64.28%, D: 35.72% | Est. Population: 16384
C: 64.32%, D: 35.68% | Est. Population: 16384
C: 65.08%, D: 34.92% | Est. Population: 16384
C: 64.88%, D: 35.12% | Est. Population: 16384
C: 64.80%, D: 35.20% | Est. Population: 16384
C: 64.36%, D: 35.64% | Est. Population: 16384
C: 64.44%, D: 35.56% | Est. Population: 16384
C: 64.40%, D: 35.60% | Est. Population: 16384
C: 64.12%, D: 35.88% | Est. Population: 16384
C: 64.32%, D: 35.68% | Est. Population: 16384
C: 64.36%, D: 35.64% | Est. Population: 16384
C: 64.20%, D: 35.80% | Est. Population: 16384
C: 64.04%, D: 35.96% | Est. Population: 16384
C: 63.96%, D: 36.04% | Est. Population: 16384
C: 64.04%, D: 35.96% | Est. Population: 16384
C: 64.00%, D: 36.00% | Est. Population: 16384
C: 64.00%, D: 36.00% | Est. Population: 16384
C: 63.96%, D: 36.04% | Est. Population: 16384
C: 64.64%, D: 35.36% | Est. Population: 16384
C: 64.56%, D: 35.44% | Est. Population: 16384
C: 64.32%, D: 35.68% | Est. Population: 16384
C: 64.12%, D: 35.88% | Est. Population: 16384
C: 64.24%, D: 35.76% | Est. Population: 16384
C: 64.24%, D: 35.76% | Est. Population: 16384
C: 64.32%, D: 35.68% | Est. Population: 16384
C: 64.28%, D: 35.72% | Est. Population: 16384
C: 63.52%, D: 36.48% | Est. Population: 16384
C: 63.52%, D: 36.48% | Est. Population: 16384
C: 63.32%, D: 36.68% | Est. Population: 16384
C: 62.88%, D: 37.12% | Est. Population: 16384
C: 63.24%, D: 36.76% | Est. Population: 16384
C: 63.24%, D: 36.76% | Est. Population: 16384
C: 63.44%, D: 36.56% | Est. Population: 16384
C: 64.16%, D: 35.84% | Est. Population: 16384
C: 63.44%, D: 36.56% | Est. Population: 16384
C: 63.24%, D: 36.76% | Est. Population: 16384
C: 63.36%, D: 36.64% | Est. Population: 16384
C: 63.16%, D: 36.84% | Est. Population: 16384
C: 63.44%, D: 36.56% | Est. Population: 16384
C: 63.44%, D: 36.56% | Est. Population: 16384
C: 63.60%, D: 36.40% | Est. Population: 16384
C: 63.60%, D: 36.40% | Est. Population: 16384
C: 64.04%, D: 35.96% | Est. Population: 16384
C: 64.12%, D: 35.88% | Est. Population: 16384
C: 64.08%, D: 35.92% | Est. Population: 16384
C: 63.56%, D: 36.44% | Est. Population: 16384
C: 63.36%, D: 36.64% | Est. Population: 16384
C: 63.36%, D: 36.64% | Est. Population: 16384
C: 63.36%, D: 36.64% | Est. Population: 16384
C: 63.36%, D: 36.64% | Est. Population: 16384

32 threadCount:
C: 54.04%, D: 45.96% | Est. Population: 128
C: 56.12%, D: 43.88% | Est. Population: 128
C: 57.44%, D: 42.56% | Est. Population: 128
C: 58.52%, D: 41.48% | Est. Population: 128
C: 58.68%, D: 41.32% | Est. Population: 128
C: 59.20%, D: 40.80% | Est. Population: 128
C: 59.84%, D: 40.16% | Est. Population: 128
C: 59.96%, D: 40.04% | Est. Population: 128
C: 59.96%, D: 40.04% | Est. Population: 128
C: 59.96%, D: 40.04% | Est. Population: 128
C: 60.52%, D: 39.48% | Est. Population: 128
C: 60.48%, D: 39.52% | Est. Population: 128
C: 61.04%, D: 38.96% | Est. Population: 128
C: 61.12%, D: 38.88% | Est. Population: 128
C: 61.68%, D: 38.32% | Est. Population: 128
C: 62.00%, D: 38.00% | Est. Population: 128
C: 61.96%, D: 38.04% | Est. Population: 128
C: 62.28%, D: 37.72% | Est. Population: 256
C: 59.96%, D: 40.04% | Est. Population: 128
C: 59.96%, D: 40.04% | Est. Population: 128
C: 61.96%, D: 38.04% | Est. Population: 128
C: 63.08%, D: 36.92% | Est. Population: 256
C: 63.16%, D: 36.84% | Est. Population: 256
C: 63.24%, D: 36.76% | Est. Population: 256
C: 63.24%, D: 36.76% | Est. Population: 256
C: 63.28%, D: 36.72% | Est. Population: 256
C: 63.36%, D: 36.64% | Est. Population: 256
C: 63.52%, D: 36.48% | Est. Population: 256
